houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
越秀招商天悦江湾,越秀招商天悦江湾,三官塘路与建华路交叉口,总价736万/套,价格待定,建面 124-189㎡,江干,未开盘,住宅
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
金隅中铁诺德都会森林,金隅中铁诺德都会森林,艮山西路与钱潮路交汇处,总价696万/套,58900,建面 120-165㎡,九堡,在售,住宅
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
首开东城金茂府,首开东城金茂府,源聚路与明石路交汇处,总价130万/套,47170,建面 36-59㎡,江干,在售,住宅
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
越秀招商天悦江湾,越秀招商天悦江湾,三官塘路与建华路交叉口,总价568万/套,155,建面 142-162㎡,景芳,在售,商业类
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
中粮梦栖祥云,中粮梦栖祥云,康良路与杜文路交叉口,总价2300万/套,40000,建面 148-237㎡,江干,在售,别墅
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
融创金成江南府,融创金成江南府,天目山西路融创金成江南府,总价545万/套,2300,建面 218㎡,城东新城,在售,别墅
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
碧桂园越溪府,碧桂园越溪府,东藩路与临北路交叉口,总价152万/套,25000,建面 38-98㎡,江干,在售,别墅
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
世茂泰禾中央广场,世茂泰禾中央广场,双龙街与枫树路交汇处,总价75万/套,40000,建面 30-40㎡,九堡,在售,商业类
houseInfo,houseName,housePosition,housePrice/万元,unitPrice,area,region,houseStatus,houseType
新城璟隽公馆,新城璟隽公馆,建设一路与通惠路交叉口向东约100米,总价193万/套,23000,建面 129-138㎡,余杭,在售,商业类
